"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","140351","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","133369","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","119545","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","123578","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","124711","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","117711","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","109019","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","106778","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","116011","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","106449","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Textile product mills [314]","Dollars","81","thousands","3","v800455","1.1.2.53","94987","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","265903","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","249094","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","228301","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","228253","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","236350","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","223058","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","241347","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","290411","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","259348","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","254642","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","272579","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","282067","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","284617","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","268829","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","247159","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Clothing manufacturing [315]","Dollars","81","thousands","3","v1745922","1.1.2.336","181293","","","","0"
